timestamp,queue_size,batch_current_size,request_rate
2024-12-23 15:20:15.450000,0.0,1.0,0.5
2024-12-23 15:20:17.459000,0.0,1.0,0.5
2024-12-23 15:20:19.465000,1.0,4.0,1.5
2024-12-23 15:20:21.472000,0.0,1.0,1.25
2024-12-23 15:20:23.480000,0.0,4.0,1.0
2024-12-23 15:20:25.488000,0.0,2.0,0.6666666666666667
2024-12-23 15:20:27.496000,0.0,0.0,0.25
2024-12-23 15:20:29.504000,0.0,2.0,0.5
2024-12-23 15:20:31.512000,0.0,5.0,1.75
2024-12-23 15:20:33.522000,0.0,3.0,1.5
2024-12-23 15:20:35.536000,0.0,2.0,0.75
2024-12-23 15:20:37.544000,0.0,2.0,1.0
2024-12-23 15:20:39.552000,0.0,2.0,0.75
2024-12-23 15:20:41.561000,0.0,3.0,1.0
2024-12-23 15:20:43.568000,0.0,1.0,1.0
2024-12-23 15:20:45.577000,0.0,1.0,0.5
2024-12-23 15:20:47.584000,0.0,1.0,0.5
2024-12-23 15:20:49.596000,0.0,1.0,0.5
2024-12-23 15:20:51.604000,0.0,2.0,0.75
2024-12-23 15:20:53.612000,0.0,1.0,0.75
2024-12-23 15:20:55.621000,0.0,0.0,0.25
2024-12-23 15:20:57.628000,0.0,2.0,0.5
2024-12-23 15:20:59.638000,0.0,2.0,1.0
2024-12-23 15:21:01.647000,0.0,2.0,1.0
2024-12-23 15:21:03.655000,0.0,2.0,0.9999999999999998
2024-12-23 15:21:05.664000,0.0,2.0,1.0
2024-12-23 15:21:07.672000,0.0,5.0,1.75
2024-12-23 15:21:09.682000,0.0,1.0,1.5
2024-12-23 15:21:11.691000,0.0,0.0,0.25
2024-12-23 15:21:13.700000,0.0,1.0,0.25
2024-12-23 15:21:15.708000,0.0,1.0,0.5000000000000001
2024-12-23 15:21:17.716000,0.0,1.0,0.5
2024-12-23 15:21:19.725000,0.0,3.0,0.75
2024-12-23 15:21:21.733000,0.0,1.0,0.75
2024-12-23 15:21:23.740000,0.0,1.0,0.5
2024-12-23 15:21:25.748000,0.0,1.0,0.5
2024-12-23 15:21:27.756000,0.0,1.0,0.5
2024-12-23 15:21:29.764000,0.0,2.0,0.75
2024-12-23 15:21:31.772000,0.0,2.0,1.0
2024-12-23 15:21:33.780000,0.0,1.0,0.9999999999999998
2024-12-23 15:21:35.788000,0.0,2.0,1.0
2024-12-23 15:21:37.796000,0.0,2.0,1.0
2024-12-23 15:21:39.807000,0.0,0.0,0.5
2024-12-23 15:21:41.815000,0.0,3.0,0.75
2024-12-23 15:21:43.823000,0.0,3.0,1.75
2024-12-23 15:21:45.830000,0.0,4.0,2.0
2024-12-23 15:21:47.839000,0.0,1.0,1.25
2024-12-23 15:21:49.848000,0.0,2.0,0.75
2024-12-23 15:21:51.859000,0.0,3.0,1.25
2024-12-23 15:21:53.868000,0.0,1.0,1.0
2024-12-23 15:21:55.876000,0.0,3.0,1.0
2024-12-23 15:21:57.885000,0.0,0.0,0.75
2024-12-23 15:21:59.892000,0.0,3.0,0.75
2024-12-23 15:22:01.900000,0.0,3.0,1.5
2024-12-23 15:22:03.915000,0.0,4.0,2.0
2024-12-23 15:22:05.923000,0.0,3.0,2.0
2024-12-23 15:22:07.931000,0.0,0.0,0.75
2024-12-23 15:22:09.940000,0.0,2.0,0.5
2024-12-23 15:22:11.948000,0.0,1.0,1.0
2024-12-23 15:22:13.959000,0.0,2.0,1.0
2024-12-23 15:22:15.968000,0.0,2.0,1.0
2024-12-23 15:22:17.976000,0.0,2.0,0.75
2024-12-23 15:22:19.984000,0.0,2.0,0.75
2024-12-23 15:22:21.992000,0.0,5.0,1.75
2024-12-23 15:22:24,0.0,7.0,3.0
2024-12-23 15:22:26.008000,0.0,6.0,2.75
2024-12-23 15:22:28.016000,0.0,4.0,1.25
2024-12-23 15:22:30.024000,0.0,2.0,0.75
2024-12-23 15:22:32.032000,0.0,3.0,1.25
2024-12-23 15:22:34.040000,0.0,2.0,1.25
2024-12-23 15:22:36.048000,0.0,1.0,0.75
2024-12-23 15:22:38.063000,0.0,0.0,0.25
2024-12-23 15:22:40.071000,0.0,2.0,0.5
2024-12-23 15:22:42.080000,0.0,6.0,1.5
2024-12-23 15:22:44.088000,0.0,2.0,1.25
2024-12-23 15:22:46.096000,0.0,1.0,0.75
2024-12-23 15:22:48.104000,0.0,3.0,1.0
2024-12-23 15:22:50.112000,0.0,5.0,1.5
2024-12-23 15:22:52.120000,0.0,2.0,1.5
2024-12-23 15:22:54.129000,0.0,6.0,1.75
2024-12-23 15:22:56.136000,0.0,2.0,1.75
2024-12-23 15:22:58.144000,0.0,1.0,0.75
2024-12-23 15:23:00.152000,0.0,2.0,0.75
2024-12-23 15:23:02.160000,0.0,2.0,1.25
2024-12-23 15:23:04.172000,0.0,1.0,1.25
2024-12-23 15:23:06.180000,0.0,3.0,1.25
2024-12-23 15:23:08.188000,0.0,1.0,1.0
2024-12-23 15:23:10.196000,0.0,1.0,0.5
2024-12-23 15:23:12.206000,0.0,1.0,0.5
2024-12-23 15:23:14.212000,0.0,1.0,0.5
2024-12-23 15:23:16.220000,0.0,3.0,1.0
2024-12-23 15:23:18.228000,0.0,2.0,1.0
2024-12-23 15:23:20.237000,0.0,1.0,0.5
2024-12-23 15:23:22.250000,0.0,5.0,1.5
2024-12-23 15:23:24.256000,0.0,9.0,3.0
2024-12-23 15:23:26.264000,0.0,5.0,2.25
2024-12-23 15:23:28.272000,0.0,1.0,0.75
2024-12-23 15:23:30.280000,0.0,4.0,1.5
2024-12-23 15:23:32.291000,0.0,5.0,1.75
2024-12-23 15:23:34.300000,0.0,2.0,1.0
2024-12-23 15:23:36.308000,0.0,1.0,0.75
2024-12-23 15:23:38.319000,0.0,4.0,1.25
2024-12-23 15:23:40.330000,0.0,5.0,2.0
2024-12-23 15:23:42.339000,0.0,3.0,1.75
2024-12-23 15:23:44.347000,0.0,1.0,1.0
2024-12-23 15:23:46.354000,0.0,0.0,0.25
2024-12-23 15:23:48.363000,0.0,3.0,0.75
2024-12-23 15:23:50.379000,0.0,1.0,1.0
2024-12-23 15:23:52.388000,0.0,2.0,0.75
2024-12-23 15:23:54.396000,0.0,6.0,2.0
2024-12-23 15:23:56.404000,0.0,3.0,1.75
2024-12-23 15:23:58.416000,0.0,3.0,1.0
2024-12-23 15:24:00.424000,0.0,4.0,1.75
2024-12-23 15:24:02.432000,0.0,2.0,1.25
