timestamp,queue_size,batch_current_size,request_rate
2024-12-23 08:52:30.459000,0.0,2.0,1.0
2024-12-23 08:52:32.476000,0.0,1.0,0.75
2024-12-23 08:52:34.484000,0.0,1.0,0.5
2024-12-23 08:52:36.492000,0.0,6.0,1.5
2024-12-23 08:52:38.500000,0.0,1.0,1.25
2024-12-23 08:52:40.508000,0.0,1.0,0.5
2024-12-23 08:52:42.520000,0.0,2.0,0.75
2024-12-23 08:52:44.529000,0.0,2.0,1.0
2024-12-23 08:52:46.536000,0.0,4.0,1.75
2024-12-23 08:52:48.544000,0.0,2.0,1.75
2024-12-23 08:52:50.552000,0.0,2.0,1.0
2024-12-23 08:52:52.560000,0.0,2.0,1.0
2024-12-23 08:52:54.572000,0.0,2.0,1.0
2024-12-23 08:52:56.580000,0.0,1.0,0.75
2024-12-23 08:52:58.588000,0.0,4.0,1.25
2024-12-23 08:53:00.597000,0.0,2.0,1.5
2024-12-23 08:53:02.604000,0.0,2.0,1.0
2024-12-23 08:53:04.612000,0.0,1.0,0.75
2024-12-23 08:53:06.628000,0.0,3.0,0.75
2024-12-23 08:53:08.635000,0.0,3.0,1.5
2024-12-23 08:53:10.643000,0.0,4.0,1.5
2024-12-23 08:53:12.652000,0.0,2.0,1.0
2024-12-23 08:53:14.660000,0.0,2.0,1.0
2024-12-23 08:53:16.671000,0.0,2.0,1.0
2024-12-23 08:53:18.678000,0.0,1.0,0.75
2024-12-23 08:53:20.687000,0.0,1.0,0.5
2024-12-23 08:53:22.695000,0.0,1.0,0.5
2024-12-23 08:53:24.703000,0.0,3.0,1.0
2024-12-23 08:53:26.712000,0.0,4.0,1.75
2024-12-23 08:53:28.721000,0.0,1.0,1.0
2024-12-23 08:53:30.728000,0.0,3.0,0.75
2024-12-23 08:53:32.736000,0.0,2.0,1.0
2024-12-23 08:53:34.744000,0.0,0.0,0.25
2024-12-23 08:53:36.752000,0.0,2.0,0.5
